label,uprivers,bahia,necochea,interior,total
Mar-25,0,0,0,0,0
Abr-25,0,0,0,0,0
May-25,0,0,0,0,0
Jun-25,0,0,0,0,0
Jul-25,0,0,0,0,0
Ago-25,210,0,0,0,210
Sep-25,0,0,0,174,174
Oct-25,0,0,0,0,0
Nov-25,939,0,0,0,939
Dic-25,21036,0,0,940,21976
Ene-26,68001,0,0,3446,71447
Feb-26,59951,0,0,1990,61941
Mar-26,106897,0,0,8628,115525
Abr-26,76116,0,0,2616,78732
May-26,34379,0,0,1930,36309
